clusterNumber;delta_1;epsilon_1;zeta_1;alpha_2;beta_2;gamma_2;delta_2;chi_1;chi_2;NN;CC;mu;nu0_1;nu1_1;nu2_1;nu3_1;nu4_1;nu0_2;nu1_2;nu2_2;nu3_2;nu4_2;
2171;13.167024375066;15.2165461872;15.447199767344;13.526184949861;14.936466839883;10.511213152267;10.501327998832;14.593781520812;16.574107258904;0.387498014642;0.279749842203;11.872069275115;16.369814087919;14.656387492565;11.483253240016;11.812758354507;16.379699241354;9.937874253053;7.62804340047;6.263892226476;7.904827696642;9.967529713357;
21712;15.219841238345;13.967721803279;13.279056113993;16.386289343644;14.1159991048;15.532871097112;14.972712402477;13.710707813976;12.129083264419;0.335106701437;0.216484860221;7.588502786731;16.188586274949;12.956141101791;13.130778812472;14.557535958218;14.870565816985;13.368022494905;9.713810775199;8.609968641653;11.585399825508;14.040212928467;
218;11.153748125525;15.753639523821;15.374708642156;15.79977023985;14.396078452117;15.045203527665;13.756838530005;16.323683371891;15.051793629955;0.392111086244;0.392770096473;12.115903059839;13.779903888019;8.586903283639;5.660897866958;11.341566040785;15.747049421531;12.580505271271;10.105921861443;9.825842514126;12.241115003345;13.704117711686;
219;10.504623049977;15.503215636808;14.949647044463;16.333568525325;15.008957965071;13.466874029253;11.32509078506;14.705813259739;15.776704881835;0.452410522196;0.459000624486;13.074762943008;13.898525729236;9.562238422533;4.810774671571;8.188202095105;13.229630346819;8.649509255392;9.147061978274;8.893343040116;8.036629742439;7.838926673744;
2191;15.394478949026;12.405867560591;15.98099805282;16.135865456631;16.491730980281;13.990787161293;12.985796562095;15.282447210099;13.681052353672;0.277772811516;0.31698392014;7.937778208091;13.964426752134;7.743370190542;9.324994740099;14.610256776537;15.941457439081;13.489939387267;14.033622826177;14.228030843727;11.664481052986;8.567132976769;
220;13.078057994153;16.030423819993;14.363127940668;13.865575217787;15.892031671907;11.199878841554;14.063278286481;14.49822503761;12.718897419358;0.34993443159;0.335765711666;9.268978870636;14.300521968915;10.323395237007;5.077673814308;9.156947131709;14.059983235337;13.891935626946;12.705717214778;9.275568972925;9.087751057665;12.603570629286;
221;9.720400877488;12.376212100287;12.053297088086;16.020538666559;15.364823488721;13.480054233832;10.577114175165;14.270866508611;13.694232558251;0.461307160288;0.44977448128;7.746665241686;13.0154520224;11.779807843058;7.81586131573;8.504527005016;12.99568171553;10.728686527831;9.133881773694;6.567036931808;7.011868836371;9.634729547721;
325;15.915097029922;9.331584842389;8.685754817986;13.272466011703;7.763140497411;11.114207511786;11.404172012538;12.307016026244;13.667872149092;0.16508206236;0.15552641404;7.387504666891;15.427429460475;6.33308830052;10.550753766006;17.018939163467;17.018939163467;8.830737068362;13.404268057499;14.083048593351;13.522889898716;9.09104610881;
326;6.039828748622;6.593397340968;9.331584842389;8.90981829584;9.357945251548;5.782814759319;5.285262036438;11.239419455292;7.390799718036;0.274477760371;0.276125285944;10.745161783556;6.122205027245;4.418663585326;4.339582357848;5.687258276117;6.866886585995;16.214946684109;17.994274302361;13.94136139412;5.76304445245;8.36613485693;
35;10.079561452284;8.642919153102;9.960939611067;10.939569801106;15.878851467328;12.870469772024;11.087847102627;11.367926449944;10.702326118672;0.280079347317;0.313029858767;6.557151778373;9.549058217953;5.917911856261;7.463290843224;10.409066566775;11.601875081233;17.730670210768;17.717490006188;15.114399601708;14.251096201741;13.882050473511;
