clusterNumber;ntc;cana;delta_1_deviation;delta_1_meanValue;epsilon_1_deviation;epsilon_1_meanValue;zeta_1_deviation;zeta_1_meanValue;alpha_2_deviation;alpha_2_meanValue;beta_2_deviation;beta_2_meanValue;gamma_2_deviation;gamma_2_meanValue;delta_2_deviation;delta_2_meanValue;chi_1_deviation;chi_1_meanValue;chi_2_deviation;chi_2_meanValue;NN_deviation;NN_meanValue;CC_deviation;CC_meanValue;mu_deviation;mu_meanValue;ribosePseudorotation_1;ribosePseudorotation_2;
221;BB03;BBw;0.10297442586766545;2.5319491458681735;0.13107422682477415;3.057467783643667;0.12775810124598494;4.790056132098437;0.2193878869756872;2.8410469563963696;0.16755160819145562;2.889043510826214;0.14276793281313616;3.0482175386080965;0.11205013797803595;2.5523694981165077;0.1837831702350029;4.2095596228851235;0.1551597705022959;4.06591902544599;0.28;4.512;0.273;5.211;0.08203047484373349;0.4663519761328848;3.1532863595781544;3.0288443839109593;
325;BA05;B-A;0.1986184688769547;2.2933626371205493;0.09878563566287904;3.2176890089767465;0.09197885158010115;4.690921430585159;0.14067353771074298;5.164603789576421;0.08220500776893291;2.9464648432168272;0.11780972450961724;0.9129817317182339;0.12077678423800761;1.8193312122788892;0.1303760951239764;4.378158428627775;0.14486232791552936;4.108505059194652;0.1;4.106;0.094;4.643;0.07819075048934597;0.42184608020702946;2.5953045977155678;1.7666222688686604;
326;BA01;B-A;0.06405358354819189;2.374694980263485;0.06981317007977318;3.2932617655881007;0.09878563566287904;4.448320664557948;0.09442231253289324;5.227959241423815;0.09913470151327791;2.818357676120443;0.061261056745000965;0.9299114254625788;0.056025068989017976;1.536762406381007;0.11903145498601327;4.4319145695892015;0.07836528341454539;3.932226804743225;0.167;4.161;0.168;4.681;0.11379546723003027;0.5134758659367318;2.721142836784359;1.0602875205865552;
35;BA09;B-A;0.10681415022205297;2.3403119939991965;0.0916297857297023;3.4885641088862656;0.10559241974565695;5.006826025196133;0.11588986233242347;4.475198735038661;0.17767451785302274;1.1901400169349332;0.13631021458075712;2.996555792749064;0.1174606586592184;1.575334182850082;0.12042771838760874;4.6167449373754;0.11344640137963143;3.2471850733354506;0.17;3.807;0.19;3.954;0.06946410422937431;0.39671333897831107;2.4701644903475746;0.630063859969953;
41;AB01;A-B;0.05811946409141117;1.5058700786207073;0.12304571226560024;3.2503266659890397;0.12863076587198208;4.907167724907257;0.1244419756671957;5.253441048502932;0.12461650859239512;3.1159363135854763;0.11327186845443199;0.9503317777109126;0.06632251157578452;2.475225945178358;0.14154620233674012;3.888069974667768;0.13386675362796507;4.4671702204794865;0.197;4.688;0.22;5.282;0.10088003076527224;0.30927234345339516;0.8890707209659113;2.8354619027899877;
410;AB03;A-B;0.12217304763960307;1.7980381954045583;0.14014993893514466;3.3981560536329596;0.10018189906447451;4.442037479250768;0.16894787159305108;5.593780252641826;0.16179202165987433;2.8204520712228365;0.1605702911834783;0.7000515629749255;0.14887658519511632;2.378709237543071;0.16126842288427604;3.9875537420314444;0.14800392056911915;4.467868352180284;0.255;4.578;0.264;5.131;0.10402162341886204;0.39322268047432246;1.7006488231432746;2.6677357616733324;
50;BB01;BBB;0.16510814723866357;2.282017996982586;0.12671090369478832;3.158173281483739;0.09704030641088471;4.634721828670942;0.13281955607676849;5.260422365510909;0.09599310885968812;3.0756192078644076;0.11466813185602746;0.848579082319643;0.06998770300497262;2.097013096271187;0.12671090369478832;4.320038964536365;0.10105456369047167;4.256508979763771;0.167;4.303;0.15;4.853;0.06527531402458793;0.44628068973495005;2.5949555318651694;2.2331487779267447;
54;BB00;BBB;0.10122909661567112;2.405412775098585;0.15690509975429023;3.195872393326817;0.17627825445142728;4.506091062798959;0.15812683023068627;5.300914004157178;0.16859880574265224;3.1344368036566164;0.10402162341886204;0.7719591281570918;0.08744099552491591;2.4109978287049665;0.154810704651897;4.4078290259116795;0.17139133254584316;4.507312793275355;0.239;4.373;0.239;4.947;0.10192722831646885;0.4457570909593517;2.7570966193754423;2.677160539634102;
552;AA08;AAA;0.07871434926494426;1.4346606451393389;0.15271630954950383;4.074645671705961;0.12461650859239512;4.795815718630019;0.16912240451825053;5.339311247701053;0.10559241974565695;2.6644196360945434;0.16598081186466074;0.9663888068292602;0.06161012259539983;1.3882348870362897;0.1583013631558857;3.3053045374268613;0.12740903539558604;3.4369023630272335;0.236;4.602;0.239;5.36;0.14713125594312196;0.40194932673429407;0.18011797880581482;0.2865830631774689;
55412029;AA07;AAu;0.05567600313861911;1.4402456987457208;0.21293016874330817;4.247084201803002;0.1733111947230369;3.7681658550557575;0.19093902016817965;5.161287663997632;0.20245819323134223;2.507863602190652;0.12391837689159739;0.919963048726211;0.06597344572538565;1.4372786390173302;0.17034413499464657;3.5505232973320644;0.21781709064889232;3.544938243725683;0.314;6.805;0.336;6.815;0.18936822384138477;6.023305781557631;0.2986258350162298;0.25185101106278174;
5542;OP07;OPN;0.07173303225696695;1.4309954537101508;0.22619467105846514;4.31811910235917;0.12531464029319286;3.383146222065809;0.21013764194011728;5.1094513852134;0.07487462491055674;2.60088965132195;0.12287117934040079;0.7627088831215221;0.06387905062299247;1.413018562414609;0.1759291886010284;3.429048381393259;0.08395033702092723;3.2724923474893677;0.232;7.758;0.164;7.506;0.19390607989657;5.652597848434035;0.29112091923265415;0.19128808601857855;
5548;AA12;AAu;0.06597344572538565;1.4376277048677293;0.18448130193580062;3.4510395299683876;0.16615534478986016;4.551818689201212;0.15550883635269475;5.206491691624285;0.1795943800302165;3.0754446749392086;0.12077678423800761;0.8665559736151845;0.056897733615015135;1.413716694115407;0.1551597705022959;3.501479545351024;0.1282817000215832;3.439869422755624;0.259;6.245;0.212;6.354;0.16755160819145562;6.184574204441907;0.2638937829015426;0.24783675378319478;
5549;AA13;AAu;0.04991641660703782;1.4475760816040968;0.16615534478986016;3.3163001117144253;0.1907644872429802;4.205196299755138;0.22636920398366453;5.350655887839015;0.1923352835697751;3.0309387790133524;0.19722220547535924;0.87720248205235;0.07504915783575616;1.441118363371718;0.14224433403753786;3.485422516232676;0.1827359726838063;3.349635900427517;0.234;7.277;0.189;6.925;0.1319468914507713;5.985606669714553;0.2822197400474831;0.2197369528260861;
556;OP01;OPN;0.05619960191421742;1.4421655609229143;0.19600047499896323;3.8561304493562716;0.16598081186466074;2.129301687433082;0.16667894356545848;4.8736574032689655;0.13543754995475998;2.522000769131806;0.13212142437597077;0.7815584390430608;0.05044001538263612;1.4264575976549656;0.1942551457469689;3.5718163142063952;0.07958701389094142;3.3786083660106234;0.235;8.281;0.271;7.39;0.18133970928221083;3.409151627920524;0.29897490086662865;0.2892010570554604;
55712229;OP04;OPN;0.044331363000655974;1.3981832637726574;0.12688543661998775;3.8543851201042774;0.11205013797803595;4.969475979203455;0.15777776438028737;2.894104965656997;0.13683381335635542;2.991843403768679;0.11780972450961724;0.9126326658678349;0.04817108735504349;1.4809118703171884;0.09896016858807849;3.5932838640059255;0.1233947781159991;3.392745532951777;0.237;7.243;0.204;7.147;0.09267698328089889;3.5950291932579197;0.3118903373313867;0.23544491609403506;
